beer/name,beer/beerId,beer/brewerId,beer/ABV,beer/style,review/appearance,review/aroma,review/palate,review/taste,review/overall,review/time,review/profileName,review/text
Alt Platz Scourge of Olde Town I.P.A.,69248,7812,5.9,India Pale Ale &#40;IPA&#41;,4/5,4/10,3/5,8/10,16/20,1183939200,rayg1,"First let me say that I didnt care for the beer being served in a chilled glass but I let that slide. The owner Tom is really cool and told me a bit about his love of beer. I was kind of shocked to find that he is so anti ratebeer.com oh well, the guy could do well if he just accepted the fact that anything served to the public will be critized and talked about. Anyway this poured from the tap like you typical IPA orange look to it with a light orange head. Aroma is unfortunatley killed because of serving the beer in a chilled glass but I can pick up a light sweetness and hops. Let the beer warm for a good 15 minutes on purpose. Finally upon sip the beer was very sweet I thought for an IPA. Not bad at all just very sweet. The malts obviously went crazy in this brew and the hops seem to just barley balance it all out. However I will say that despite its sweetness it was very drinkable and actually damn good. All I could get out of the brewer is that he uses nothing but German hops which are less powerful than say Cascade or Chinook, ect. so that is why the beer is sweeter."
Alt Platz Scourge of Olde Town I.P.A.,69248,7812,5.9,India Pale Ale &#40;IPA&#41;,3/5,10/10,3/5,7/10,17/20,1178064000,geoffreyfox99,"I dont like IPAs, but I know what it supposed to be, and this is a good IPA.  A slight dyactel or oily flavor, but it wasnt too bad.  If you like IPA, you will like this beer."
Sailor Hagars Hefeweizen,5985,1075,-,German Hefeweizen,4/5,8/10,3/5,7/10,16/20,975974400,Oakes,Lots of banana and some good clean malt notes.  Well above average.
Sailor Hagars Marionberry Weizen,19007,1075,-,Fruit Beer,2/5,4/10,3/5,5/10,10/20,1039046400,Crit,"Cloudy ruby. Faint berry nose and taste, nearly vinegary. Good lace"
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,3/5,5/10,3/5,6/10,11/20,1276992000,fiulijn,"Draught at Sailor HagarsThe aroma is light, it reminds me some cider. Dry mouthfeel, malt and caramel flavor, maybe with a light trace of honey at the end; strong bitterness. Simple."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,5/5,10/10,5/5,10/10,20/20,1241654400,lumikuuro,"Pint on tap at Sailor Hagars in North Vancouver.		Beer is brewed by Howe Sound Brewing and is Howe Sound Pilsner Plunge under a sudonym.		Appearance: Orangey gold and slightly opaque, with a vibrant bubbly white head that quickly recedes to a gentle ring, but leaves lots of lacing.		Aroma: Not overpowering, but inviting. Subtle honey, and the kind of crisp hop aroma you can only get from a good quality pilsner.		Taste: Crisp and refreshing, with subtle honey and a big hop flavour. Lots of bitterness and some tart citrus flavours from the hops. This beer shows how both a honey lager and a pilsner should be made, unlike many others in the Pacific northwest. Pilsners in the PNW tend to be a little sweet for the style, but this beer from Howe Sound only has subtle sweetness from the honey, with no other unfortunate sweetness. It is very tempered with the hops, so the overall flavour is bitter, not sweet, with the honey adding complexity and flavour rather than rich sweetness. The finish is very long and bitter, only slightly dry, with hints of honey and subtle grassiness from the Saaz hops, and is intensely rewarding. One of the nicest pilsners anywhere in the world.		Mouthfeel: Medium bodied and faintly silky from the honey.		Drinkability: Very moreish. Simply not possible to only have one of these exceptional pilsners."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,2/5,4/10,2/5,5/10,9/20,1151539200,CapFlu,"(Draught) Pours a medium, foamy white head with a amber body. Nose of mild English malts and a touch of honey sweetner. The flavour lines-up similarly with the additional Czech Pils hoppiness and bitter finish. Somewhat average at best."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,3/5,6/10,3/5,7/10,13/20,1123200000,JoeMcPhee,"I dont know if theyve changed the recipe since I last had this, but it seems to be improved.  Pale golden, creamy white head.  Pale malt aroma with some light honey underneath but also a fairly assertive Saaz aroma.  Spicy flavour with a touch of breadiness.  Lingering bitterness.  Quite a surprise, actually."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,1/5,3/10,1/5,3/10,5/20,1119744000,Oakes,"This was always the crapper of the Hagars lineup, but its gone straight up macro since Howe Sound took over.  Light straw colour.  Grainy aroma with doughy yeast note and ultra bland hops.  I doubt theyre using teutonic nor slavic varieties anymore.  Probably more like Willamette or something equally flavorless, and in miniscule quantities."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,3/5,6/10,2/5,5/10,11/20,1108598400,BeerPrince,Golden colour with a small head.  Aroma is light honey and malts.  Some hop flavour but mostly thin and sweet.
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,3/5,6/10,2/5,5/10,10/20,1087084800,Malakin,"Light golden in color with a light sweet honey aroma. Mostly hop flavour with a bit of honey, poor aftertaste."
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,2/5,4/10,2/5,4/10,8/20,1043107200,Kaya161,Sweet cloying flavour with a stale bitter finish.  eh....
Sailor Hagars Honey Pilsner,18196,1075,4.5,Pilsener,3/5,5/10,2/5,5/10,12/20,1040688000,Crit,"I detected a sweet note in the aroma, which possibly was honey but it wasnt noticeable in the flavor.I found this easy drinking, but slightly bland"
Sailor Hagars Oatmeal Stout,5988,1075,-,Stout,5/5,5/10,5/5,6/10,12/20,975974400,Oakes,Very cream with some light burnt notes.
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,5/5,5/10,3/5,7/10,13/20,1276992000,fiulijn,"Hand-pump at Sailor HagarsHazy dark amber color; creamy head. The aroma is light, but there is a good caramel flavor, quite sweet, with respectable bitterness. Not fully British, but quite good."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,6/10,3/5,7/10,14/20,1191801600,Beershine,"A shame this isnt made on-premises any more. Along with the IPA, this was one of Sailor Hagars best offerings and one of the best in BC."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,5/5,7/10,3/5,6/10,13/20,1184025600,tiggmtl,"Thick, chewy caramel, butterscotch and toffee with floral hop notes in the aroma.  Clear, deep, copper coloured body is topped by a thin, dense, cream coloured head that coats the glass.  Caramel malt sweetness is balanced nicely by assertive bitterness.  Earthy, floral hop notes offer counterpoint.  Medium body with low carbonation that feels right for the style.  Sampled on tap with Oakes and CapFlu at Sailor Hagars in North Van in May 2007."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,6/10,4/5,7/10,13/20,1152144000,CapFlu,"(650ml bottle) Purchased at the Sailor Hagars Off-Sale for ~$5. Quite a compliment when your former employer keeps a beer named after you - Gary Lohin must be honoured... and its a solid beer based on his recipe. Lasting almond-coloured, foam head with a deep copper body. Nose is strong and balanced of malt and hops. A robust fruitiness and well malted flavour - though its so hoppy that it would be a logical replacement for a thirsty hophead!"
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,7/10,3/5,7/10,14/20,1149120000,jonas,"Bottle. Hazy orange amber, lowish head. Fruity strawberry, honeyish  and earthy minerally notes. Mellow, welllagererd mouthfeel. Bitter dry finish. Earthy hop  aftertaste."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,7/10,3/5,7/10,14/20,1090713600,JoeMcPhee,"UPDATED: NOV 23, 2004 Copper coloured with a nice thick off-white head.  Spicy and citrusy hop character, caramel malt, and soft carbonation.  Nice.  A bit hoppier than the Narwhal Pale Ale, but with many of the same characteristics.  Dry-hopping is noticable and well-appreciated."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,8/10,5/5,8/10,16/20,1074729600,TimE,"Funny how this is retired and I drank it last week. For admin's info it is now contract brewed by Howe Sound.	pours a very dark amber color, creamy off white head.  A huge citrusy nose erupts from the nose with hints of sweet apples and caramel.  The body has great depth, juicy hops, apples,  cinnamon, hints of caramel is run over the tongue very smoothly. Orangish bitter off dry finish.  Superb!"
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,8/10,2/5,3/10,10/20,1044576000,BeerPrince,"Orange body with a chunky floating head.  Aroma is fruity and very spicy.  A very unique nose.  Flavour was very hoppy and the finish was long, sweet and a little harsh for my liking."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,7/10,3/5,6/10,15/20,1043107200,Kaya161,Deep amber-red colour.  Buttery malt aroma and initial flavour to match.  Then some bitter hops leading to a dry finish.
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,8/10,3/5,6/10,14/20,1039046400,Crit,"UPDATED: JAN 18, 2003 Opaque red brown, thick lasting off white head.Faint nose. Bitter..no noticeable malt. Long strong finish. Poorly balanced	Re Rate Jan 18 /03	Great carmel malt nose.Carmelized malt palate with medium lingering hop finish"
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,3/5,7/10,3/5,6/10,13/20,1037059200,daboskabouter,"Orange color, clouded by many-a chunk of floating yeast.  Nose is juicy and fruity with citrus notes and some spice.  Roasted hop flavors are prevalent in the body with a little malt poking through.  Finishes long and with a touch of sweetness, although not much.  An ok ESB, but the hop flavors arent for me."
Sailor Hagars Lohins ESB,5977,1075,5.4,Premium Bitter/ESB,4/5,6/10,4/5,7/10,14/20,975974400,Oakes,"UPDATED: JUN 26, 2005 Bright amber colour.  Light bitterness, a fair dose of crystal malt chewiness, and light mango/papaya esters.  Slightly sticky finish.  As with the Narwhal, it is a subtlely complex ale with a distinct Howe Sound imprint.  Good on them for using a fun yeast, too."
Sailor Hagars Sherpa Smoked Porter,5984,1075,7.5,Smoked,3/5,7/10,3/5,7/10,15/20,1037059200,daboskabouter,"Dark red appearance.  Nose is of smoked malt and somehow a touch of fruit.  Body is nicely smoked with an oily mouthfeel.  Touches of roast are also prevalent.  Good amount of alcohol, but overall comes up a bit light.  Nice smoked beer nonetheless."
Sailor Hagars Sherpa Smoked Porter,5984,1075,7.5,Smoked,3/5,6/10,3/5,7/10,13/20,975974400,Oakes,"The first time I had this it wasnt very smokey, but had some nice leafy hop flavours.  The second and all subsequent times those hop notes were gone, but we had a dry smokiness and burnt notes in their place."
Sailor Hagars Star of India IPA,5982,1075,-,India Pale Ale &#40;IPA&#41;,4/5,10/10,4/5,10/10,17/20,975974400,Oakes,"Along with Diamond Knot and Bhagwans, this is the third member of my IPA Holy Trinity.  Huge citrus flavours, appetizing bitterness, trance-inducing aromas...oh man....just thinking about this beer...oh lord.  Excuse me, I need to go to the fridge now."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,4/5,6/10,4/5,7/10,13/20,1276992000,fiulijn,"Hand-pump at Sailor HagarsCloudy golden color; nice creamy head. Light fruity aroma. Low carbonation, smooth mouthfeel, good malt and blond caramel flavor, correct bitterness, with hints of hop qualities; shades of toffee in the end. Highly drinkable session beer."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,5/10,3/5,4/10,10/20,1191801600,Beershine,"Yawn. Pale ales can be boring as it is, and this one falls into that general pool of beer. Take it or leave it; its not bad but its not great either."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,4/5,6/10,3/5,5/10,11/20,1184025600,tiggmtl,"Butterscotch almost overshadows the toasted, biscuity malts in the nose with no hop aromas apparent.  Lightly hazy copper coloured body is topped by a thick and lasting cream coloured head that recedes to a lasting cover with some lacing.  Lots of butterscotch in the flavour also though floral hops and biscuity malts are notable as well.  Bitterness is subdued.  Medium body with moderate carbonation.  Sampled on tap with Oakes and CapFlu at Sailor Hagars in North Van in May 2007."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,6/10,3/5,6/10,12/20,1152144000,CapFlu,(650ml bottle) Purchased at the Sailor Hagars Off-Sale for ~$5. Pours a lasting white foamy head with a deep orange. Nose of orangey english hops. Bitter and lightly fruity flavour. Solid to style.
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,6/10,4/5,8/10,15/20,1148947200,jonas,"Bottle. Hazy amber, low white head. Honeyish (wild heather) and minerally aroma. Solid mouthfeel, bready and strawlike malt, spicy, yeasty minerally notes, herbal and earthy hop balance - they are english allright. Very nice, just what I needed right now. Thanks for bringing it over to the Island Josh!"
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,6/10,3/5,6/10,11/20,1090713600,JoeMcPhee,This one is now being brewed on contract for Sailor Hagars in North Vancouver.  Nice copper colour with a thin white lace.  Caramel malt and a nice citrus and spicy hop character to balance it out.  Soft mouthfeel and a bit of toffee/caramel becomes prominent in the finish.
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,6/10,3/5,4/10,11/20,1050451200,BeerPrince,Amber body with an orangey hop nose.  Head is really creamy. Flavour is thin but lasts.  A nice light beer that can be an easy drinker.
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,5/10,3/5,5/10,15/20,1043107200,Kaya161,"Yeasty aroma.  Mild, stale bitterness with a sweet finish.  I found this to be under hopped and boring."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,6/10,2/5,5/10,12/20,1040688000,Crit,"Amber color. Grapefruity hop nose.Flavor has a long finish, but not particularly strong."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,4/5,6/10,3/5,6/10,13/20,1020038400,daboskabouter,"Cloudy orange appearance.  Citrusy hop, irony aroma. Quite bitter, good long hop palate.  Quite like the Bengal."
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,3/5,7/10,4/5,6/10,14/20,1011657600,omhper,"Amber coloured. Medium bodied, well balanced with big bitterness. Flowery with citrus aroma"
Sailor Hagars Narwhal Pale Ale,5978,1075,4.1,English Pale Ale,4/5,6/10,4/5,7/10,13/20,975974400,Oakes,"UPDATED: JUN 26, 2005 In the early Hagars days, this beer was a showcase for BC Kent Goldings.  A couple of batches were among the finest APAs Ive ever had.  Then that hop disappeared from the landscape and the beer became more of a standard-issue EPA similar to many others in the region.  Today, its a golden-amber ale with light bitterness, a faint papaya note, light maltiness, a hint of minerals.  Rather light overall, but with nice balance and complexity.  A subtle but enjoyable brew.  Of all the current Hagars brews, this seems to best evidence a shift from Gary Lohin to Howe Sound as it is crafted much the same as the HS beers."
Sailor Hagars Maple Cream,35550,1075,-,Cream Ale,3/5,5/10,2/5,5/10,9/20,1087084800,Malakin,Very watery. Balanced malt/hop flavours with a light maple flavour which is more prominant in the aftertaste.
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,7/10,3/5,6/10,13/20,1298678400,manuchampions,On tap at Sailor Hagars. Pours a solid amber with creamy white head that lasts to the bottom of the glass. Aroma has pine and grapefruit/citrus hop notes. Flavour is also very hoppy but with enough toffee malt character to balance it out. Lingering bitterness. Decent but a tad underwhelming.
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,6/10,4/5,7/10,14/20,1276992000,fiulijn,"Draught at Sailor HagarsGolden color; creamy head. The aroma is lightly fruity, at least this one has some aroma, from Sailor Hagars. The mouthfeel is quite dry, but there is a good toffee flavor, a very strong bitterness, with a good share of hop oils and resins, and bitter orange peel. Solid."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,6/10,3/5,7/10,15/20,1246752000,turboespresso,"650ml Bottle purchased at Sailor Hagars. Beer has good body and hop bitterness. Pronounced grapefruit flavour. Overall, this is an enjoyable IPA and more than worth trying."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,7/10,3/5,7/10,14/20,1191801600,Beershine,"The Sailor Hagars IPA was undoubtedly better when it was brewed on premises in North Vancouver. However, it remains one of the finest BC IPAs. Reddish-orange color. Strong nose with distinct hops and grapefruit notes. Citrusy throughout the bouquet and the taste too."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,6/10,3/5,7/10,13/20,1151539200,CapFlu,"(Draught) I found that they were sold all out of the bottled version so I was lucky to find this on tap. Pours a thin, beige head with an orange-amber body. Nose and flavour of sweet English malts and bitter PNW hoppiness. By far the best beer at the Hagar. Too bad the bar is SO unimpressive..."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,5/5,7/10,3/5,7/10,14/20,1142812800,Hanratty,"Was one of my faves when it was made by Gary Lohin. It was BCs best IPA.  I still like it but the recipe has been tweaked by Fab & Franco at Howe Sound. Heres a secret - all the contract brews at Sailor Hagars are exactly whats on tap at Howe Sound - just a different name.  Compare the ratings! That said, its  served with a creamy head, great lace, hops now less citrusy than before, thinner in the mouth."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,6/10,3/5,7/10,14/20,1124064000,Ungstrup,"An orange beer with a thin beige head. The aroma is sweet hoppy with hints of caramel. The flavor is nicely hoppy, and the alcohol burns slightly on the tongue."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,6/10,2/5,6/10,11/20,1122508800,Rastacouere,"Very light orange, off-white head. Floral and piney nose, sweaty average floral hops hide most of the maltiness. Barky, lasting oily hops bitterness, woody and annoying. Light bodied feels mysteriously sticky. Average.."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,7/10,4/5,7/10,14/20,1121731200,tiggmtl,"Floral, honey, earth, lavender hops with underlying biscuity, toasty malts in the nose.  Clear copper coloured body is topped by a low white head that diminishes to partial cover with light lacing.  Moderate hop bitterness with floral, lavender hop flavour over a clean malt character.  Medium body with fair carbonation and soft bubbles in the mouth.  Bottle enjoyed with Oakes, Rastacouere, St-Eric and Ungstrup."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,7/10,3/5,7/10,14/20,1108598400,BeerPrince,Amber in colour with a nice sized off-white head.  Aroma is hoppy and lightly malty.  Flavour is nice and hoppy with a little earthiness to it.  Nice bitter end.
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,7/10,3/5,6/10,12/20,1087084800,Malakin,Light amber in color with a hoppy aroma. Fairly bitter taste with light hop aroma for an IPA.
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,7/10,3/5,7/10,15/20,1079136000,JoeMcPhee,Creamy white head that lasts to the bottom of the glass.  Rich amber colour.  Huge pine and grapefruit/citrus hop aroma.  Flavour is also very hoppy but with enough toffee malt character to balance it out.  Lingering bitterness.  I enjoyed this one a great deal.
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,8/10,4/5,7/10,15/20,1074729600,TimE,"Again, I drank this beer last week at Sailor Hagars.  		An excellent balance of grapefruity hops and tobacco notes, ending juicy and bitter with notes of apples."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,6/10,2/5,5/10,11/20,1042848000,Crit,"Cloudy amber,lasting beige head.Grapefruit hop nose. Tart grapefruit hop flavor, with mild, lingering green hop finish.Great lace. Poorly balanced."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,3/5,7/10,3/5,7/10,16/20,1020038400,daboskabouter,"Light orange color.  Citrusy hop aroma and body, smooth.  Very bitter palate.  Sweet backgroud.  Finishes smooth and long.  Nice, similar but a bit better than that Narwhal."
Sailor Hagars Bengal IPA,13655,1075,6,India Pale Ale &#40;IPA&#41;,4/5,7/10,4/5,7/10,14/20,1019952000,Oakes,"UPDATED: JUN 26, 2005 One of four IPAs Gary Lohin made, probably about the third one to hit the market but ultimately the one thats been made in the past few years. A shame, since Star of India was the best, and Monsoon was better than this one as well. I never did get to try Dean Carrieres IPA, at least not brewed by Hagars.  Regardless, Bengal is the IPA that Howe Sound makes.  Unlike the Narwhal and ESB, its served cold from the keg.  Bright golden-amber colour.  Moderately hopped.  The other IPAs were hopped to PNW standards, this is more like to BC standards, though at the high end of that scale.  Slight chewiness from crystal malt, overlayed with resiny bitterness.  The aroma is woody hops and fresh biscuity malts."
Sailor Hagars Peak Lager,35580,1075,-,Pale Lager,3/5,6/10,3/5,6/10,11/20,1087084800,Malakin,Watery yellow appearance with a light hoppy nose but the body isnt overly thin. Mostly hop flavours with a light hoppy aftertaste.
Sailor Hagars Jewel in the Crown IPA,5983,1075,-,India Pale Ale &#40;IPA&#41;,4/5,8/10,4/5,5/10,10/20,1013040000,jmusial99,This was quite hoppy as mst IPAs but it was a bit over board.  The aroma was much better than the taste.
Sailor Hagars Jewel in the Crown IPA,5983,1075,-,India Pale Ale &#40;IPA&#41;,3/5,8/10,2/5,7/10,13/20,975974400,Oakes,"The most assertive IPA at Hagars, and thus the most assertive IPA in Canada.  Like eating a handful of hops."
Sailor Hagars Maibock,19006,1075,-,Heller Bock,2/5,6/10,2/5,5/10,10/20,1039046400,Crit,"Amber, no discernable bubbles. More hops then malt with long finish."
Sailor Hagars Wee Heavy,5980,1075,-,Scotch Ale,4/5,8/10,4/5,8/10,16/20,1074729600,TimE,"Has a peppery sweet malty nose, a medium body and a sweet rye-whiskey type finish ."
Sailor Hagars Wee Heavy,5980,1075,-,Scotch Ale,3/5,6/10,3/5,6/10,12/20,1050451200,BeerPrince,Amber body with a lasting small head.  Nose was roasted malts and alcohol.  Nutty and floral taste with an avergae finish.  Good but not great.
Sailor Hagars Wee Heavy,5980,1075,-,Scotch Ale,2/5,6/10,3/5,5/10,11/20,1039478400,Crit,"Deep amber, lasting off white head.Roasty malt nose.Nutty choc malt taste with slight cloying yeast"
Sailor Hagars Wee Heavy,5980,1075,-,Scotch Ale,3/5,7/10,4/5,7/10,14/20,975974400,Oakes,"Roasty, nutty, and chocolatey with floral hop flavours in the finish."
Sailor Hagars Monsoon IPA,5981,1075,-,India Pale Ale &#40;IPA&#41;,3/5,8/10,3/5,7/10,15/20,975974400,Oakes,"Assertive, yet balanced, woody bitterness."
Sailor Hagars Clear Cut Lager,19554,1075,5,Pale Lager,4/5,5/10,1/5,3/10,11/20,1042848000,Crit,Gold with huge lasting off white head. Crisp hop nose. Fatty taste with light lingering hop finish
Sailor Hagars Clear Cut Lager,19554,1075,5,Pale Lager,1/5,3/10,2/5,5/10,10/20,1040688000,Oakes,"Golden, slight haze; scant aroma - maybe some hop.  Mostly cold-tasting, they really need to serve this warmer, because all I got were some husky malt flavours and vague herbal hoppiness.  The brewer told me he brought in special pale malts from a small German producer and they were wonderful malts, etc...they were completely lost on me, and I know Gary can brew so its not for lack of talent.  But if theyre lost on me, theyll be lost on just about everyone else, too, which is a shame because I dont want discourage brewers from seeking out the best ingredients possible."
Sailor Hagars SSSteam,5987,1075,-,California Common,3/5,7/10,3/5,7/10,14/20,975974400,Oakes,"Cascade-accented, and well balanced.  I would put it ahead of Anchor myself, but I dont have any illusions about converting the masses on that one."
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,4/5,6/10,3/5,5/10,12/20,1298678400,manuchampions,Sample at brewpub. Pours a dark brown colour with thin ring of off white foam. Aroma has some prominent malt but lacks a nuttiness. Taste is reasonably malty but again the nutiness is lacking. Okay.
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,4/5,6/10,2/5,6/10,11/20,1276992000,fiulijn,"Hand-pump at Sailor HagarsBrown color, creamy head. Light caramel and very light butterscotch aroma. The body is weaker than expected, there is caramel flavor, low bitterness. The hand-pump allows for lower carbonation, which is better for me. Simple but easy to drink"
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,6/10,3/5,6/10,11/20,1252281600,DeanF,"Bought as a bottle quite awhile ago. Lives up to its name quite well, lots of nutty flavour in this one, some malts, but really too nutty a flavour for my tastes. Comes across as a little artificial, and low alcohol content doesnt help me to get tipsy to enjoy it more either. Still okay, just not great."
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,6/10,2/5,5/10,12/20,1191801600,Beershine,"Decent nut brown: not sweet as some can be, but then again its not got any distinctive flavors either. Quaffable and pretty good."
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,6/10,3/5,6/10,13/20,1152144000,CapFlu,(650ml bottle) Purchased at the Sailor Hagars Off-Sale for ~$5. Lasting foamy almond-coloured head with a ruby body. Pleasant roasteed malt and slight coffee flavours. This is a good contender. I like the solid beers made by Howe Sound.
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,4/5,7/10,3/5,7/10,14/20,1101168000,JoeMcPhee,"Very dark porterish colour with ruby and mahogany notes.  Has a thin light brown head.  Sweet blackstrap molasses and treacle aroma.  A vineous sherry-like aroma.  Cherry and black current fruitiness with port-like notes as well.  Not like any other brown ale that Ive had.  Tends to become cloying, but is still a well-crafted beer.  Based on the description Im reading I think this is a totally different beast from what others were drinking when it was still brewed at Sailor Hagars."
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,5/10,3/5,5/10,12/20,1050451200,BeerPrince,Dark brown body with little head.  Flavour is nice and nutty but a little thin.  Finish is dry.
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,4/10,3/5,5/10,14/20,1043107200,Kaya161,Deep amber colour.  Dry nutty flavour.  Medium bodied.  Unimpressive.
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,5/10,2/5,5/10,10/20,1040688000,Crit,Brown with off white head.Faint malt nose. Light malt faintly nutty flavor with short dry finish
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,4/5,6/10,2/5,5/10,11/20,1036108800,Oakes,"Dark brown colour, light body, palate is also light, malt-accented, some nuttiness and drying out in the finish."
Sailor Hagars Grizzly Nut Brown,13671,1075,4.3,Brown Ale,3/5,7/10,3/5,7/10,16/20,1020038400,daboskabouter,"Interesting brown ale.  Sweet malty aroma.  Good malty backbone, end with a good hop bite and a pleasing sweetness.  Nice."
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,3/5,5/10,2/5,5/10,13/20,1191801600,Beershine,"I appreciate the attempt at a style that is not brewed enough in the new world--or old, for that matter. Not an exceptional example of a Vienna lager, the Hagars/Howe Sound version is nevertheless solid and refreshing and worth a try."
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,3/5,5/10,2/5,5/10,10/20,1087084800,Malakin,"Amber in color with a light hoppy aroma. Fairly balanced malt/hops, not much of anything happening here though."
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,2/5,6/10,3/5,5/10,12/20,1044576000,BeerPrince,Light orange colour with off white head.  Decent malts with a hoppy taste.  Found the finish to be a bit bitter.  Not overly impressed.
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,3/5,5/10,3/5,5/10,15/20,1043107200,Kaya161,Very light orange colour.  Light carmel malt flavour.
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,3/5,6/10,3/5,6/10,12/20,1040688000,Crit,Amber with off white head.Nice malt profile with some decent hops in the finish.
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,4/5,6/10,3/5,6/10,14/20,1011657600,omhper,"Amber coloured. medium bodied, lightly roasty. Youre right, Oakes, this is better than the beers it has been named after."
Sailor Hagars Scandinavian Amber Lager,5979,1075,5.6,Vienna,3/5,6/10,3/5,7/10,13/20,975974400,Oakes,"This beer has evolved from an tasty malt-accented Vienna to a tasty hop-accented one. Ive had a lot of amber lagers from Scandinavia and this is better than any of them (ok, except maybe Appollo from Copenhagen)."
